batter_id,batter,comp_1,sim_1,comp_2,sim_2,comp_3,sim_3
10c158cc,K Sonavale,I Kaia,67.1,S Veerapathiran,63.9,KC Ramamoorthy,57.5
10e34eef,A Sokovagone,Yuvraj Singh,94.8,JW Jenner,94.3,Mohammad Ihsan,93.7
10eef955,MJM Kavana,AJ Jabiri,95.4,Khin Aye,94.1,D Jakiel,90.6
10f42013,WJ Lubbe,FA Allen,74.4,R Lutaaya,73.3,I Kaia,70.7
10f7b52b,JD Baker,Najjam Shahzad,61.0,DJ Willey,53.9,Hassan Nawaz,53.7
110b180a,DE Roache,A Johnson,73.8,Arslan Amjad,73.1,Aritra Dutta,73.0
11174f6d,S Gasteratos,K Piet,70.1,S Yeshi,68.9,B Muzarabani,67.0
1125ebe4,R Satheesan,Q de Kock,96.4,AD Hales,95.9,PD Salt,95.7
112959b2,A Bagai,BA Pai,93.7,Shan Masood,93.3,H Lakov,93.1
11378dda,S Mathur,S Foster,85.3,Thuya Aung,82.7,Sufyan Mehmood,78.5
113880da,RA Bhatti,G Bakiweyem,72.3,Simi Singh,67.0,E Sebareme,65.3
11406bad,Mohammad Asaduzzaman,FJ Klaassen,87.9,A Shukla,76.2,V Baskaran,72.6
11614d87,D Pretorius,Lokesh Bam,88.5,JO Holder,85.8,Sher Sahak,85.7
118b0a7c,Aziz Sualley,MG Johnson,53.8,Saeed Ajmal,53.8,BM Scholtz,51.0
11a22126,A Turay,E Dusingizimana,88.8,XM Marshall,88.0,H Carlyon,83.5
