bowler_id,bowler,comp_1,sim_1,comp_2,sim_2,comp_3,sim_3
759ac88f,MM Sharma,CR Brathwaite,84.9,AJ Tye,82.7,JO Holder,77.5
76388dc8,S Badree,IK Pathan,87.1,JH Kallis,84.0,R Sharma,83.9
765a4731,Mukesh Choudhary,Umran Malik,87.3,Basil Thampi,84.1,Navdeep Saini,73.1
77255a9e,RA Tripathi,C de Grandhomme,71.7,LS Livingstone,69.8,RG Sharma,66.3
77b1aa15,Harshit Rana,JR Hazlewood,93.2,CR Woakes,92.0,Arshdeep Singh,91.3
78eb4223,KAJ Roach,A Mithun,43.5,Pankaj Singh,40.3,PVD Chameera,39.0
798934ea,C Ganapathy,Shahbaz Ahmed,67.8,S Dube,64.8,DJ Hooda,57.8
798cc28e,KM Asif,Vijaykumar Vyshak,79.8,TU Deshpande,69.4,DJ Bravo,64.7
7a8bd078,S Gopal,RD Chahar,90.7,P Negi,88.7,PWH de Silva,87.5
7c390b03,RA Shaikh,Shahbaz Ahmed,69.0,LS Livingstone,59.6,DJ Hooda,59.4
7c3b3b78,VG Arora,TU Deshpande,92.8,Mukesh Kumar,91.8,Harshit Rana,89.6
7c503806,J Botha,JH Kallis,89.8,Ankit Sharma,88.4,R Sharma,87.9
7c7d63a2,AJ Tye,Naveen-ul-Haq,94.1,JO Holder,90.7,L Ngidi,88.3
7ca5e05d,RS Bopara,A Mishra,88.9,MJ Santner,83.6,R Sai Kishore,82.0
7d3720ba,RR Bhatkal,S Dube,68.7,Shahbaz Ahmed,61.6,R Shepherd,59.4
7d3937ed,DJ Thornely,V Shankar,90.4,MC Henriques,88.5,C Green,69.3
7d92277a,Mujeeb Ur Rahman,VR Aaron,77.6,Basil Thampi,74.5,VY Mahesh,68.6
7dc35884,Shakib Al Hasan,DL Vettori,94.1,R Sharma,93.9,Iqbal Abdulla,93.5
7dcb9bc9,M Shahrukh Khan,DJ Hussey,83.3,LS Livingstone,83.1,Mohammad Nabi,78.2
7f048519,DJ Willey,GJ Maxwell,89.1,SP Narine,88.1,Harpreet Brar,87.5
808f425a,JP Faulkner,KK Cooper,91.4,LH Ferguson,91.1,Naveen-ul-Haq,91.0
80b2fb19,Prince Yadav,K Kartikeya,81.7,Suyash Sharma,78.1,M Ashwin,75.6
81049310,J Yadav,Ankit Sharma,88.8,RR Powar,84.2,M Kartik,83.8
81c08fa3,Umran Malik,MA Starc,89.0,Mukesh Choudhary,87.3,Basil Thampi,82.5
81c36ee9,M Jansen,Mohammed Siraj,93.9,MJ McClenaghan,91.9,KK Ahmed,90.4
8291f939,AL Menaria,DJ Hussey,82.5,V Kohli,72.9,LS Livingstone,71.1
8361e524,SSB Magala,AD Mathews,73.0,Washington Sundar,68.2,R Parag,67.5
83c3e8e3,SH Johnson,AS Joseph,73.1,Azmatullah Omarzai,61.1,K Gowtham,55.8
844e79d1,D Brevis,Mukesh Choudhary,67.6,Basil Thampi,66.2,A Ashish Reddy,64.4
85aae393,Iqbal Abdulla,Harbhajan Singh,97.9,DL Vettori,95.9,A Kumble,95.6
85b3fab2,T Stubbs,CJ Anderson,76.2,S Dube,71.1,V Sehwag,70.2
85e0cf10,M Prasidh Krishna,CR Woakes,97.2,Mustafizur Rahman,96.7,LH Ferguson,96.2
85ec8e33,SS Iyer,K Gowtham,58.1,IC Pandey,53.5,C Green,44.8
864c199e,AC Voges,C de Grandhomme,86.1,TM Dilshan,84.4,V Kohli,80.5
86ae8ef2,MB Parmar,DJ Hooda,51.9,Shahbaz Ahmed,51.8,S Dube,48.7
86dc8f2e,JH Kallis,R Sharma,90.8,Rashid Khan,89.9,J Botha,89.8
871e9faf,Basil Thampi,Mukesh Choudhary,84.1,Umran Malik,82.5,Mujeeb Ur Rahman,74.5
872b03f7,A Badoni,STR Binny,91.7,YK Pathan,87.5,JP Duminy,85.8
87e562a9,DJ Bravo,HV Patel,92.5,M Pathirana,89.2,MF Maharoof,87.3
888e32bf,Abdur Razzak,R Shepherd,56.0,A Mithun,55.8,Arshad Khan,53.6
88fccd6c,SM Pollock,Harbhajan Singh,91.8,A Kumble,89.1,SK Warne,85.4
890de8cb,Gagandeep Singh,SM Curran,75.8,VRV Singh,75.8,S Kaul,75.5
896d78ad,AD Mathews,Washington Sundar,84.5,PV Tambe,82.7,S Nadeem,81.6
8998a68f,Sumit Kumar,R Parag,61.3,DJ Hooda,57.9,Abhishek Sharma,46.6
89f64c19,LMP Simmons,Joginder Sharma,75.5,A Ashish Reddy,74.0,Anureet Singh,67.0
8a668774,Shoaib Ahmed,A Ashish Reddy,75.1,DR Smith,74.5,V Sehwag,71.8
8abdf100,CJ Anderson,R Shepherd,88.2,MP Stoinis,74.8,S Dube,68.9
8b5b6769,Harbhajan Singh,A Kumble,98.0,Iqbal Abdulla,97.9,M Muralitharan,95.6
8b9704ae,L Ablish,AD Russell,71.5,Akash Madhwal,68.8,Basil Thampi,68.7
8ba8195d,V Sehwag,DR Smith,88.1,DJG Sammy,80.0,SC Ganguly,78.8
8cf9814c,Mohammed Shami,TA Boult,99.0,A Nehra,95.4,BW Hilfenhaus,95.3
8d2c70ad,Kuldeep Yadav,A Mishra,93.0,RD Chahar,92.1,SK Warne,91.5
8d92a2c3,MA Wood,Naveen-ul-Haq,93.8,CR Woakes,90.4,TG Southee,90.4
8db7f47f,RJW Topley,Mohsin Khan,81.9,A Nortje,81.4,Yash Dayal,80.0
8dc152d1,D Jansen,Kartik Tyagi,89.6,BB Sran,78.0,Arshad Khan,73.8
8e514b4c,Abdul Samad,CJ Anderson,68.2,V Sehwag,64.3,R Shepherd,63.1
8f6dd463,Azmatullah Omarzai,B Kumar,70.6,JR Hopes,65.2,K Gowtham,64.2
8fd1a8f5,DW Steyn,IK Pathan,95.3,P Kumar,94.4,SR Watson,93.0
9061a703,J Little,Avesh Khan,96.4,LH Ferguson,95.3,P Awana,93.0
90de905a,K Gowtham,IC Pandey,76.4,R Dhawan,76.0,Ankit Sharma,75.0
90edaaa9,S Rana,SK Raina,71.4,AM Nayar,67.4,TM Dilshan,65.2
9170ff49,Parvez Rasool,AD Mathews,83.0,JR Hopes,77.9,Lalit Yadav,76.2
91a4a398,Z Khan,TA Boult,96.2,M Morkel,96.2,A Nehra,96.0
91ffa6c6,JD Ryder,AM Nayar,81.0,Yuvraj Singh,79.6,ST Jayasuriya,76.1
9219eff0,JDS Neesham,Mohammad Nabi,66.8,D Wiese,63.3,BA Bhatt,59.2
93a17209,VY Mahesh,M Pathirana,82.2,VG Arora,79.5,MA Starc,77.2
94253925,GH Vihari,SK Raina,92.4,STR Binny,89.6,V Kohli,83.2
943fd425,I Malhotra,R Shepherd,73.5,S Dube,73.1,CJ Anderson,62.1
9440ef41,Suyash Sharma,K Kartikeya,92.1,R Dhawan,83.4,Harpreet Brar,76.9
94bc776b,D Kalyankrishna,JR Hopes,54.5,R Shepherd,49.1,KV Sharma,48.1
94d7f855,C de Grandhomme,RG Sharma,88.3,DJ Hooda,87.8,TM Dilshan,84.8
94eac556,CJ McKay,AN Ahmed,67.1,PVD Chameera,64.3,BB Sran,62.9
