batter_id,batter,comp_1,sim_1,comp_2,sim_2,comp_3,sim_3
30a2649b,CM Gautam,SA Asnodkar,67.9,CA Ingram,61.7,MS Bisla,60.2
30a45b23,SPD Smith,DPMD Jayawardene,92.1,SE Marsh,91.9,S Badrinath,91.4
30df8c66,Simarjeet Singh,AB Dinda,94.1,TG Southee,92.0,S Nadeem,90.4
30e37810,Sunny Singh,P Negi,57.6,DB Das,52.8,A Raghuvanshi,48.8
3204c99f,G Coetzee,RD Chahar,61.9,MJ McClenaghan,55.1,NM Coulter-Nile,50.2
32198ae0,MC Henriques,MV Boucher,86.3,AD Mathews,86.0,RA Jadeja,86.0
3241e3fd,N Pooran,KA Pollard,96.9,Abhishek Sharma,96.0,YK Pathan,95.8
327b58d3,PVD Chameera,A Nehra,77.0,RP Singh,74.9,B Kumar,71.2
331ea488,UT Khawaja,DB Das,85.0,RA Tripathi,81.5,DPMD Jayawardene,78.6
3355b542,F du Plessis,Ishan Kishan,95.8,Shubman Gill,95.0,JC Buttler,94.5
33a364a6,R Bhatia,R Vinay Kumar,91.7,R Dhawan,84.1,KV Sharma,83.6
33cb3411,Younis Khan,AB Dinda,79.1,YS Chahal,79.0,TG Southee,78.5
33ffc3dd,R Sanjay Yadav,S Nadeem,88.1,MM Sharma,85.9,A Nehra,84.6
342d8ade,CRD Fernando,R Ashwin,75.1,DL Vettori,71.2,DS Kulkarni,65.8
350bb1b1,AF Milne,MG Johnson,87.4,PP Ojha,84.2,B Kumar,80.6
35205dfc,DR Smith,SR Watson,97.7,CH Gayle,96.5,AC Gilchrist,94.8
3576e47e,S Badrinath,SPD Smith,91.4,KS Williamson,89.4,JP Duminy,87.8
35f173a0,MP Breetzke,RG Sharma,44.6,SA Asnodkar,41.6,SW Billings,41.3
36d33dd0,RR Sarwan,GH Vihari,76.0,SS Tiwary,71.6,DJ Mitchell,67.5
372455c4,Q de Kock,F du Plessis,91.2,BB McCullum,90.0,YBK Jaiswal,89.1
378daa89,Aman Hakim Khan,Gurkeerat Singh,76.9,DB Ravi Teja,71.9,Shahbaz Ahmed,71.3
38f2c66c,VS Yeligati,NM Coulter-Nile,63.3,JJ Bumrah,59.8,RP Singh,52.9
39086549,JR Philippe,RS Bopara,80.6,CA Pujara,79.5,GH Vihari,63.6
39a2dfa8,R Tewatia,KD Karthik,89.3,M Shahrukh Khan,88.9,TH David,87.5
39ed0d2f,KS Sharma,GH Vihari,55.0,AB Dinda,53.6,S Nadeem,53.1
39f01cdb,KP Pietersen,SK Raina,94.4,SA Yadav,94.3,ML Hayden,94.0
39f82db3,DJ Harris,M Vijay,88.4,SR Tendulkar,88.1,HH Gibbs,87.2
3a02626a,AG Paunikar,SP Goswami,60.3,MS Bisla,55.5,K Goel,55.1
3a60e0b5,WD Parnell,PP Ojha,86.6,RP Singh,77.3,TG Southee,74.4
3ae3f034,AUK Pathan,M Vohra,62.9,K Gowtham,61.9,AP Tare,61.0
3b53243a,XC Bartlett,M Kaif,55.4,A Manohar,52.2,PK Garg,51.1
3c28853f,Sediqullah Atal,A Raghuvanshi,75.0,AR Patel,73.2,Tilak Varma,71.6
3c55c703,JG Bethell,YBK Jaiswal,88.0,WG Jacks,86.8,TM Head,86.1
3c6ffae8,YK Pathan,KA Pollard,97.3,N Pooran,95.8,KD Karthik,93.3
3d284ca3,PD Salt,N Pooran,95.1,Abhishek Sharma,94.9,CH Gayle,92.2
3d7e087f,SK Trivedi,S Nadeem,91.2,Ravi Bishnoi,86.2,AB Dinda,85.6
3d8feaf8,MR Marsh,JC Buttler,92.8,SV Samson,91.6,F du Plessis,91.2
3dba85c2,WA Mota,DL Vettori,78.2,GH Vihari,77.5,MA Starc,68.2
3eac9d95,JDP Oram,M Manhas,77.8,K Rabada,63.4,AM Nayar,62.5
3edb58fc,AD Mascarenhas,A Mishra,75.8,DT Christian,66.5,R Sathish,65.8
3fb19989,MA Starc,RP Singh,82.4,A Kumble,80.2,I Sharma,75.0
3fca55af,S Sohal,J Fraser-McGurk,74.0,E Lewis,71.9,SP Narine,67.8
