bowler_id,bowler,country,matches,total_overs,total_wickets,career_economy,career_sr_bowl,phase_group,score_accuracy,score_control,score_threat,overall_score,overall_grade,grade_accuracy,grade_control,grade_threat,archetype,avg_wicket_quality_mean,bowled_lbw_pct,peak_composite_bowling,peak_window_composite,flat_track_index_bowl,war_bowling,war_bowling_rate,clutch_index_bowl,pressure_spells,avg_dominance_bowl,pct_dominant_bowl,bowl_first_index,bowl_second_index,condition_dependence_index_bowl,condition_dependence_tag_bowl,condition_spread_bowl,is_provisional_bowl
2049f3a0,SJ Srivastava,Kings XI Punjab,14,47.0,15,9.45,18.8,pp_heavy,25.8,18.4,31.4,25.2,C,C,C,C+,Utility Player,0.89,0.07,0.02,-0.29,0.6,0.46,0.03,,2,-0.32,0.65,-0.03,0.03,-0.06,Conditions-Proof,0.01,False
be869ccf,GHS Garton,Royal Challengers Bangalore,5,15.0,3,9.07,30.0,pp_heavy,25.8,17.0,5.3,16.0,C,C,C,D,Utility Player,0.84,0.0,,,,0.08,,,1,-0.57,0.8,,,,,,True
4d7f517e,AJ Hosein,Sunrisers Hyderabad,1,4.0,1,10.25,24.0,pp_heavy,25.7,32.5,24.5,27.6,C,C,C+,C,Utility Player,1.4,0.0,,,,0.06,,,0,0.15,0.5,,,,,,True
752f7486,Ishan Kishan,Sunrisers Hyderabad,1,0.17,0,24.0,999.0,death_heavy,25.6,27.3,23.4,25.4,C,C,C,C,Utility Player,0.0,0.0,,,,0.0,,,1,,,,,,,,True
740742ef,RG Sharma,Deccan Chargers,32,56.5,16,8.18,21.19,middle_heavy,25.6,18.2,10.1,18.0,C,C,C,D,Utility Player,0.36,0.31,-0.27,0.55,0.04,0.34,0.01,,3,-0.51,0.68,-0.12,0.12,0.04,Conditions-Proof,-0.3,False
d1a60072,N Wadhera,Mumbai Indians,2,2.83,0,7.76,999.0,middle_heavy,25.6,47.8,10.6,28.0,C,C,B,D,Utility Player,0.0,0.0,,,,0.26,,,1,-1.01,1.0,,,,,,True
da934ee8,MK Lomror,Rajasthan Royals,11,15.0,2,8.47,45.0,middle_heavy,25.5,50.9,8.7,28.4,C,C,B,D,Utility Player,0.2,0.0,-0.02,0.53,-0.48,0.38,0.03,,1,-0.32,0.4,,,-0.5,Flat-Track Leaker,-0.09,True
69be866a,Anureet Singh,Kings XI Punjab,22,68.67,21,9.26,19.62,pp_heavy,25.5,24.1,16.6,22.1,C,C,C,C,Utility Player,0.73,0.29,-0.03,0.17,0.27,0.5,0.02,,4,-0.35,0.54,0.54,-0.54,0.08,Conditions-Proof,0.08,False
fdf7491e,IC Porel,Punjab Kings,1,4.0,1,10.5,24.0,pp_heavy,25.4,26.2,25.2,25.6,C,C,C,C,Utility Player,1.4,0.0,,,,0.0,,,0,0.24,0.5,,,,,,True
25228673,Harsh Dubey,Sunrisers Hyderabad,3,10.0,5,9.8,12.0,middle_heavy,25.4,41.1,58.8,41.8,C+,C,C+,B,Utility Player,1.31,0.4,,,,0.66,,,0,0.16,0.6,,,,,,True
facb9086,SD Chitnis,Mumbai Indians,2,6.0,2,10.33,18.0,middle_heavy,25.2,31.6,38.2,31.7,C+,C,C+,C+,Utility Player,0.68,0.0,,,,0.26,,,0,-0.07,0.67,,,,,,True
890de8cb,Gagandeep Singh,Kings XI Punjab,4,14.0,3,10.14,28.0,middle_heavy,25.2,9.8,22.2,19.1,C,C,D,C,Utility Player,0.92,0.33,,,,0.07,,,0,0.31,0.0,,,,,,True
dcce6f09,DA Warner,Sunrisers Hyderabad,1,0.17,0,12.0,999.0,middle_heavy,25.0,16.4,13.0,18.1,C,C,C,D,Utility Player,0.0,0.0,,,,0.0,,,0,,,,,,,,True
27e71d47,K Upadhyay,Pune Warriors,3,9.0,0,9.0,999.0,pp_heavy,24.8,31.5,4.9,20.4,C,C,C+,D,Utility Player,0.0,0.0,,,,0.12,,,0,-0.01,0.6,,,,,,True
93a17209,VY Mahesh,Delhi Daredevils,17,56.5,22,9.04,15.41,middle_heavy,24.4,16.5,72.3,37.7,C+,C,C,B+,Utility Player,0.86,0.23,-0.21,0.21,0.01,0.78,0.05,,3,-0.54,0.68,0.58,-0.58,0.45,Tough-Track Enforcer,0.46,False
64c34cd0,Shoaib Malik,Delhi Daredevils,5,8.5,2,10.24,25.5,middle_heavy,23.7,26.6,14.7,21.7,C,C,C,D,Utility Player,0.46,0.0,,,,0.1,,,1,-0.12,0.5,,,,,,True
